row,source_column,target_column,original_value,transformed_value,transformation_applied
0,loan_id,loan_number,853253,0000853253,pad_10_digits
1,loan_id,loan_number,986626,0000986626,pad_10_digits
2,loan_id,loan_number,80945,0000080945,pad_10_digits
3,loan_id,loan_number,790023,0000790023,pad_10_digits
4,loan_id,loan_number,573751,0000573751,pad_10_digits
5,loan_id,loan_number,20695,0000020695,pad_10_digits
6,loan_id,loan_number,257291,0000257291,pad_10_digits
7,loan_id,loan_number,137872,0000137872,pad_10_digits
8,loan_id,loan_number,977694,0000977694,pad_10_digits
9,loan_id,loan_number,939159,0000939159,pad_10_digits
10,loan_id,loan_number,392157,0000392157,pad_10_digits
11,loan_id,loan_number,764491,0000764491,pad_10_digits
12,loan_id,loan_number,95215,0000095215,pad_10_digits
13,loan_id,loan_number,898284,0000898284,pad_10_digits
14,loan_id,loan_number,457257,0000457257,pad_10_digits
15,loan_id,loan_number,441976,0000441976,pad_10_digits
16,loan_id,loan_number,501288,0000501288,pad_10_digits
17,loan_id,loan_number,623990,0000623990,pad_10_digits
18,loan_id,loan_number,299950,0000299950,pad_10_digits
19,loan_id,loan_number,742498,0000742498,pad_10_digits
20,loan_id,loan_number,199753,0000199753,pad_10_digits
21,loan_id,loan_number,190970,0000190970,pad_10_digits
22,loan_id,loan_number,905350,0000905350,pad_10_digits
23,loan_id,loan_number,756681,0000756681,pad_10_digits
24,loan_id,loan_number,390693,0000390693,pad_10_digits
25,loan_id,loan_number,348720,0000348720,pad_10_digits
26,loan_id,loan_number,557404,0000557404,pad_10_digits
27,loan_id,loan_number,21747,0000021747,pad_10_digits
28,loan_id,loan_number,591325,0000591325,pad_10_digits
29,loan_id,loan_number,814845,0000814845,pad_10_digits
30,loan_id,loan_number,431080,0000431080,pad_10_digits
31,loan_id,loan_number,580350,0000580350,pad_10_digits
32,loan_id,loan_number,889098,0000889098,pad_10_digits
33,loan_id,loan_number,88575,0000088575,pad_10_digits
34,loan_id,loan_number,821516,0000821516,pad_10_digits
35,loan_id,loan_number,974443,0000974443,pad_10_digits
36,loan_id,loan_number,259388,0000259388,pad_10_digits
37,loan_id,loan_number,830642,0000830642,pad_10_digits
38,loan_id,loan_number,532958,0000532958,pad_10_digits
39,loan_id,loan_number,88876,0000088876,pad_10_digits
40,loan_id,loan_number,760589,0000760589,pad_10_digits
41,loan_id,loan_number,421663,0000421663,pad_10_digits
42,loan_id,loan_number,136569,0000136569,pad_10_digits
43,loan_id,loan_number,743647,0000743647,pad_10_digits
44,loan_id,loan_number,529356,0000529356,pad_10_digits
45,loan_id,loan_number,864241,0000864241,pad_10_digits
46,loan_id,loan_number,266141,0000266141,pad_10_digits
47,loan_id,loan_number,574253,0000574253,pad_10_digits
48,loan_id,loan_number,920582,0000920582,pad_10_digits
49,loan_id,loan_number,551851,0000551851,pad_10_digits
50,loan_id,loan_number,202847,0000202847,pad_10_digits
51,loan_id,loan_number,827246,0000827246,pad_10_digits
52,loan_id,loan_number,899392,0000899392,pad_10_digits
